codcentro	dencentro	nombrecentro	telefono	email	muunicipio	materia	clave	codcentro	enseñanza	curso	modalidad	nalumnos
22001887	Colegio de Educación Infantil y Primaria	SAN JOSÉ DE CALASANZ	974 47 27 06	cpjcfraga@educa.aragon.es	Fraga	Lengua Catalana	22001887	22001887	infantil	primero	Bilingüe Catalán	43
22001887	Colegio de Educación Infantil y Primaria	SAN JOSÉ DE CALASANZ	974 47 27 06	cpjcfraga@educa.aragon.es	Fraga	Lengua Catalana	22001887	22001887	infantil	segundo	Bilingüe Catalán	45
22001887	Colegio de Educación Infantil y Primaria	SAN JOSÉ DE CALASANZ	974 47 27 06	cpjcfraga@educa.aragon.es	Fraga	Lengua Catalana	22001887	22001887	infantil	tercero	Bilingüe Catalán	51
22001887	Colegio de Educación Infantil y Primaria	SAN JOSÉ DE CALASANZ	974 47 27 06	cpjcfraga@educa.aragon.es	Fraga	Lengua Catalana	22001887	22001887	primaria	primero	Bilingüe Catalán	48
22001887	Colegio de Educación Infantil y Primaria	SAN JOSÉ DE CALASANZ	974 47 27 06	cpjcfraga@educa.aragon.es	Fraga	Lengua Catalana	22001887	22001887	primaria	segundo	Bilingüe Catalán	46
22001887	Colegio de Educación Infantil y Primaria	SAN JOSÉ DE CALASANZ	974 47 27 06	cpjcfraga@educa.aragon.es	Fraga	Lengua Catalana	22001887	22001887	primaria	tercero	Bilingüe Catalán	50
22001887	Colegio de Educación Infantil y Primaria	SAN JOSÉ DE CALASANZ	974 47 27 06	cpjcfraga@educa.aragon.es	Fraga	Lengua Catalana	22001887	22001887	primaria	cuarto	Bilingüe Catalán	49
22001887	Colegio de Educación Infantil y Primaria	SAN JOSÉ DE CALASANZ	974 47 27 06	cpjcfraga@educa.aragon.es	Fraga	Lengua Catalana	22001887	22001887	primaria	quinto	Bilingüe Catalán	53
22001887	Colegio de Educación Infantil y Primaria	SAN JOSÉ DE CALASANZ	974 47 27 06	cpjcfraga@educa.aragon.es	Fraga	Lengua Catalana	22001887	22001887	primaria	sexto	Bilingüe Catalán	50
22001887	Colegio de Educación Infantil y Primaria	SAN JOSÉ DE CALASANZ	974 47 27 06	cpjcfraga@educa.aragon.es	Fraga	Lengua Catalana	22001887	22001887				0
22004608	Colegio de Educación Infantil y Primaria	SAN JUAN BAUTISTA	974 47 82 08	cpzaidin@educa.aragon.es	Zaidín	Lengua Catalana	22004608	22004608	infantil	primero	Bilingüe Catalán	16
22004608	Colegio de Educación Infantil y Primaria	SAN JUAN BAUTISTA	974 47 82 08	cpzaidin@educa.aragon.es	Zaidín	Lengua Catalana	22004608	22004608	infantil	segundo	Bilingüe Catalán	15
22004608	Colegio de Educación Infantil y Primaria	SAN JUAN BAUTISTA	974 47 82 08	cpzaidin@educa.aragon.es	Zaidín	Lengua Catalana	22004608	22004608	infantil	tercero	Bilingüe Catalán	15
22004608	Colegio de Educación Infantil y Primaria	SAN JUAN BAUTISTA	974 47 82 08	cpzaidin@educa.aragon.es	Zaidín	Lengua Catalana	22004608	22004608	primaria	primero	Bilingüe Catalán	6
22004608	Colegio de Educación Infantil y Primaria	SAN JUAN BAUTISTA	974 47 82 08	cpzaidin@educa.aragon.es	Zaidín	Lengua Catalana	22004608	22004608	primaria	segundo	Bilingüe Catalán	13
22004608	Colegio de Educación Infantil y Primaria	SAN JUAN BAUTISTA	974 47 82 08	cpzaidin@educa.aragon.es	Zaidín	Lengua Catalana	22004608	22004608	primaria	tercero	Bilingüe Catalán	8
